game_num,round_num,player,discount_rate,offer,value,items,your_side_of_current_offer,outside_offer,accepting_an_offer_worse_than_outside_offer,making_an_offer_worse_for_you_than_your_outside_offer,walking_away_from_an_offer_better_than_your_outside_offer,offer_no_items_or_all_items,making_offer_worse_than_previous
0,1,1,1.0,"[1, 5, 0, 0, 0]",1291.0,[4 5 4 6 4],,840.0,False,False,False,False,False
1,1,1,1.0,"[2, 0, 1, 0, 4]",758.0,[6 2 3 2 6],,336.0,False,False,False,False,False
1,1,2,1.0,"[2, 0, 1, 0, 4]",548.0,[6 2 3 2 6],,517.0,False,False,False,False,False
2,1,1,1.0,"[0, 1, 1, 0, 0]",594.0,[3 5 2 2 2],,524.0,False,False,False,False,False
2,1,2,1.0,"[0, 1, 1, 0, 0]",102.0,[3 5 2 2 2],,38.0,False,False,False,False,False
3,1,1,1.0,"[2, 2, 0, 1, 3]",522.0,[4 6 0 3 6],,418.0,False,False,False,False,False
3,1,2,1.0,"[1, 2, 0, 1, 2]",243.0,[4 6 0 3 6],243.0,449.0,False,True,False,False,True
3,2,1,0.9,"[1, 2, 0, 1, 2]",557.1,[4 6 0 3 6],557.1,376.2,False,False,False,False,False
4,1,1,1.0,[],,[1 2 4 5 3],,,,,,,
5,1,1,1.0,"[2, 2, 2, 0, 0]",404.0,[2 6 2 2 2],,364.0,False,False,False,False,False
5,1,2,1.0,"[2, 0, 2, 2, 1]",352.8,[2 6 2 2 2],352.8,686.0,False,True,False,False,False
5,2,1,0.9,"[1, 1, 1, 1, 1]",378.90000000000003,[2 6 2 2 2],378.90000000000003,327.6,False,False,False,False,False
6,1,1,1.0,"[2, 1, 3, 1, 3]",514.0,[4 2 7 1 6],,357.0,False,False,False,False,False
6,1,2,1.0,"[2, 1, 3, 1, 3]",416.0,[4 2 7 1 6],,394.0,False,False,False,False,False
7,1,1,1.0,"[1, 1, 0, 1, 2]",1034.0,[4 4 2 4 8],,255.0,False,False,False,False,False
7,1,2,1.0,"[1, 0, 0, 1, 2]",266.40000000000003,[4 4 2 4 8],266.40000000000003,451.0,False,True,False,False,True
7,2,1,0.9,"[1, 0, 0, 1, 3]",913.5,[4 4 2 4 8],913.5,229.5,False,False,False,False,True
7,2,2,0.9,"[1, 3, 2, 1, 5]",575.9100000000001,[4 4 2 4 8],575.9100000000001,405.90000000000003,False,False,False,False,False
7,3,1,0.81,"[1, 3, 2, 1, 5]",466.56000000000006,[4 4 2 4 8],,206.55,False,False,False,False,False
8,1,1,1.0,"[2, 4, 1, 1, 4]",678.0,[5 7 2 4 5],,307.0,False,False,False,False,False
8,1,2,1.0,"[2, 4, 1, 1, 4]",566.0,[5 7 2 4 5],,60.0,False,False,False,False,False
9,1,1,1.0,"[0, 0, 1, 2, 3]",413.0,[4 3 3 6 6],,77.0,False,False,False,False,False
9,1,2,1.0,"[2, 1, 0, 3, 3]",384.3,[4 3 3 6 6],384.3,708.0,False,True,False,False,False
9,2,1,0.9,"[2, 1, 0, 3, 3]",373.5,[4 3 3 6 6],,69.3,False,False,False,False,False
10,1,1,1.0,"[4, 2, 0, 2, 1]",603.0,[8 4 1 5 3],,294.0,False,False,False,False,False
11,1,1,1.0,"[0, 1, 3, 1, 4]",613.0,[0 2 6 5 9],,275.0,False,False,False,False,False
12,1,1,1.0,"[1, 5, 0, 0, 1]",507.0,[3 5 5 5 3],,501.0,False,False,False,False,False
12,1,2,1.0,"[1, 5, 0, 0, 1]",479.0,[3 5 5 5 3],,443.0,False,False,False,False,False
13,1,1,1.0,"[0, 1, 0, 7, 1]",558.0,[1 5 5 7 5],,92.0,False,False,False,False,False
14,1,1,1.0,"[3, 1, 3, 3, 2]",537.0,[6 3 7 6 4],,469.0,False,False,False,False,False
14,1,2,1.0,"[3, 1, 3, 3, 2]",413.0,[6 3 7 6 4],,204.0,False,False,False,False,False
15,1,1,1.0,[],,[5 1 3 3 5],,,,,,,
16,1,1,1.0,[],,[5 5 4 3 3],,,,,,,
17,1,1,1.0,"[0, 0, 1, 1, 2]",518.0,[6 3 3 5 5],,458.0,False,False,False,False,False
17,1,2,1.0,"[0, 0, 1, 1, 2]",147.0,[6 3 3 5 5],,74.0,False,False,False,False,False
18,1,1,1.0,"[1, 1, 0, 3, 2]",659.0,[3 5 2 4 5],,316.0,False,False,False,False,False
18,1,2,1.0,"[1, 0, 0, 1, 1]",194.4,[3 5 2 4 5],194.4,8.0,False,False,False,False,True
18,2,1,0.9,"[1, 2, 1, 2, 2]",485.1,[3 5 2 4 5],485.1,284.40000000000003,False,False,False,False,True
18,2,2,0.9,"[1, 2, 1, 2, 2]",377.1,[3 5 2 4 5],,7.2,False,False,False,False,False
19,1,1,1.0,"[1, 0, 2, 3, 1]",560.0,[3 1 3 6 4],,467.0,False,False,False,False,False
20,1,1,1.0,"[0, 6, 1, 4, 2]",772.0,[1 7 2 9 4],,636.0,False,False,False,False,False
20,1,2,1.0,"[0, 6, 1, 4, 2]",618.0,[1 7 2 9 4],,401.0,False,False,False,False,False
21,1,1,1.0,[],,[4 5 3 4 3],,,,,,,
22,1,1,1.0,"[0, 0, 2, 2, 1]",776.0,[3 2 5 4 2],,260.0,False,False,False,False,False
23,1,1,1.0,"[1, 2, 3, 0, 1]",618.0,[2 4 7 0 4],,584.0,False,False,False,False,False
23,1,2,1.0,"[1, 3, 2, 0, 3]",318.6,[2 4 7 0 4],318.6,198.0,False,False,False,False,False
23,2,1,0.9,"[0, 1, 2, 0, 2]",669.6,[2 4 7 0 4],669.6,525.6,False,False,False,False,False
23,2,2,0.9,"[1, 3, 2, 0, 2]",230.04000000000002,[2 4 7 0 4],230.04000000000002,178.20000000000002,False,False,False,False,False
23,3,1,0.81,[],,[2 4 7 0 4],,,,,,,
24,1,1,1.0,"[3, 0, 0, 2, 0]",597.0,[3 5 6 3 4],,586.0,False,False,False,False,False
24,1,2,1.0,"[1, 2, 3, 1, 1]",212.4,[3 5 6 3 4],212.4,375.0,False,True,False,False,False
24,2,1,0.9,[],,[3 5 6 3 4],,,,,,,
25,1,1,1.0,"[4, 2, 2, 2, 1]",360.0,[4 4 4 3 1],,330.0,False,False,False,False,False
25,1,2,1.0,"[2, 1, 2, 0, 0]",108.9,[4 4 4 3 1],108.9,455.0,False,True,False,False,True
25,2,1,0.9,[],,[4 4 4 3 1],,,,,,,
26,1,1,1.0,"[7, 0, 0, 0, 2]",722.0,[7 5 2 4 5],,278.0,False,False,False,False,False
26,1,2,1.0,"[7, 0, 2, 0, 5]",333.0,[7 5 2 4 5],333.0,690.0,False,True,False,False,False
26,2,1,0.9,"[7, 0, 2, 0, 5]",546.3000000000001,[7 5 2 4 5],,250.20000000000002,False,False,False,False,False
27,1,1,1.0,[],,[2 1 3 6 2],,,,,,,
28,1,1,1.0,"[0, 0, 0, 1, 3]",724.0,[2 1 2 2 6],,232.0,False,False,False,False,False
28,1,2,1.0,"[0, 0, 0, 1, 2]",149.4,[2 1 2 2 6],149.4,312.0,False,True,False,False,True
28,2,1,0.9,"[0, 0, 1, 0, 2]",724.5,[2 1 2 2 6],724.5,208.8,False,False,False,False,False
28,2,2,0.9,"[0, 0, 0, 0, 3]",111.78,[2 1 2 2 6],111.78,280.8,False,True,False,False,True
28,3,1,0.81,"[0, 1, 1, 1, 4]",396.90000000000003,[2 1 2 2 6],396.90000000000003,187.92000000000002,False,False,False,False,True
29,1,1,1.0,"[0, 1, 1, 2, 2]",343.0,[5 3 2 3 3],,658.0,False,True,False,False,False
29,1,2,1.0,"[0, 1, 1, 2, 2]",191.0,[5 3 2 3 3],,176.0,False,False,False,False,False
30,1,1,1.0,[],,[1 4 1 7 5],,,,,,,
31,1,1,1.0,[],,[5 5 8 5 1],,,,,,,
32,1,1,1.0,"[0, 5, 0, 4, 5]",401.0,[5 5 4 5 5],,345.0,False,False,False,False,False
32,1,2,1.0,"[0, 5, 0, 4, 5]",718.0,[5 5 4 5 5],,165.0,False,False,False,False,False
33,1,1,1.0,"[0, 1, 2, 0, 3]",533.0,[2 2 5 1 7],,388.0,False,False,False,False,False
33,1,2,1.0,"[2, 0, 3, 1, 4]",361.8,[2 2 5 1 7],361.8,286.0,False,False,False,False,True
33,2,1,0.9,"[2, 0, 3, 1, 4]",258.3,[2 2 5 1 7],,349.2,True,False,False,False,False
34,1,1,1.0,"[1, 2, 3, 0, 0]",514.0,[5 5 7 2 1],,440.0,False,False,False,False,False
35,1,1,1.0,"[1, 1, 2, 4, 4]",921.0,[4 2 3 8 9],,620.0,False,False,False,False,False
35,1,2,1.0,"[0, 0, 1, 3, 3]",311.40000000000003,[4 2 3 8 9],311.40000000000003,921.0,False,True,False,False,True
35,2,1,0.9,[],,[4 2 3 8 9],,,,,,,
36,1,1,1.0,"[0, 3, 3, 2, 4]",353.0,[1 5 6 4 8],,113.0,False,False,False,False,False
36,1,2,1.0,"[0, 3, 3, 2, 4]",698.0,[1 5 6 4 8],,356.0,False,False,False,False,False
37,1,1,1.0,[],,[1 4 3 2 2],,,,,,,
38,1,1,1.0,"[3, 0, 1, 2, 2]",487.0,[7 1 3 6 4],,187.0,False,False,False,False,False
38,1,2,1.0,"[3, 0, 1, 2, 2]",206.0,[7 1 3 6 4],,121.0,False,False,False,False,False
39,1,1,1.0,"[2, 3, 0, 2, 0]",693.0,[8 6 2 4 3],,269.0,False,False,False,False,False
39,1,2,1.0,"[2, 3, 0, 2, 0]",382.0,[8 6 2 4 3],,294.0,False,False,False,False,False
40,1,1,1.0,[],,[2 3 1 2 2],,,,,,,
41,1,1,1.0,[],,[3 2 1 3 6],,,,,,,
42,1,1,1.0,[],,[3 1 4 7 2],,,,,,,
43,1,1,1.0,"[0, 0, 2, 2, 1]",488.0,[4 1 5 5 5],,284.0,False,False,False,False,False
44,1,1,1.0,"[2, 1, 1, 2, 1]",982.0,[8 3 3 4 2],,150.0,False,False,False,False,False
45,1,1,1.0,"[0, 0, 1, 5, 0]",717.0,[2 5 4 8 1],,579.0,False,False,False,False,False
45,1,2,1.0,"[0, 0, 2, 6, 1]",363.6,[2 5 4 8 1],363.6,308.0,False,False,False,False,False
45,2,1,0.9,[],,[2 5 4 8 1],,,,,,,
46,1,1,1.0,"[1, 0, 2, 3, 5]",547.0,[ 4  2  5  7 10],,533.0,False,False,False,False,False
46,1,2,1.0,"[1, 1, 2, 2, 5]",737.1,[ 4  2  5  7 10],737.1,102.0,False,False,False,False,True
46,2,1,0.9,[],,[ 4  2  5  7 10],,,,,,,
47,1,1,1.0,"[0, 0, 0, 0, 6]",625.0,[2 3 2 3 6],,590.0,False,False,False,False,False
47,1,2,1.0,"[0, 1, 0, 1, 6]",327.6,[2 3 2 3 6],327.6,246.0,False,False,False,False,False
47,2,1,0.9,[],,[2 3 2 3 6],,,,,,,
48,1,1,1.0,[],,[3 6 4 3 2],,,,,,,
49,1,1,1.0,"[3, 2, 4, 3, 2]",744.0,[7 4 8 5 4],,471.0,False,False,False,False,False
49,1,2,1.0,"[3, 2, 4, 3, 2]",689.0,[7 4 8 5 4],,576.0,False,False,False,False,False
50,1,1,1.0,"[0, 7, 4, 3, 0]",644.0,[5 7 4 4 4],,599.0,False,False,False,False,False
50,1,2,1.0,"[0, 7, 4, 3, 0]",835.0,[5 7 4 4 4],,270.0,False,False,False,False,False
51,1,1,1.0,"[0, 2, 1, 2, 2]",1072.0,[1 5 4 5 6],,625.0,False,False,False,False,False
52,1,1,1.0,"[0, 2, 2, 1, 3]",717.0,[5 6 2 5 6],,150.0,False,False,False,False,False
52,1,2,1.0,"[2, 0, 0, 3, 3]",490.5,[5 6 2 5 6],490.5,737.0,False,True,False,False,True
52,2,1,0.9,"[2, 0, 0, 3, 3]",519.3000000000001,[5 6 2 5 6],,135.0,False,False,False,False,False
53,1,1,1.0,"[0, 1, 3, 1, 1]",893.0,[2 2 7 6 2],,738.0,False,False,False,False,False
54,1,1,1.0,"[2, 0, 0, 2, 2]",1021.0,[4 7 3 3 2],,80.0,False,False,False,False,False
54,1,2,1.0,"[0, 2, 3, 1, 0]",86.4,[4 7 3 3 2],86.4,275.0,False,True,False,False,True
54,2,1,0.9,"[1, 3, 0, 1, 1]",730.8000000000001,[4 7 3 3 2],730.8000000000001,72.0,False,False,False,False,False
54,2,2,0.9,"[0, 2, 0, 1, 1]",140.94,[4 7 3 3 2],140.94,247.5,False,True,False,False,True
54,3,1,0.81,"[0, 2, 0, 1, 1]",750.0600000000001,[4 7 3 3 2],,64.80000000000001,False,False,False,False,False
55,1,1,1.0,"[0, 0, 2, 1, 0]",974.0,[5 4 5 3 2],,893.0,False,False,False,False,False
55,1,2,1.0,"[2, 3, 3, 0, 2]",650.7,[5 4 5 3 2],650.7,266.0,False,False,False,False,False
55,2,1,0.9,[],,[5 4 5 3 2],,,,,,,
56,1,1,1.0,[],,[3 7 3 2 1],,,,,,,
57,1,1,1.0,"[1, 4, 1, 5, 2]",307.0,[2 5 2 6 6],,178.0,False,False,False,False,False
58,1,1,1.0,[],,[3 2 6 1 7],,,,,,,
59,1,1,1.0,[],,[3 2 1 2 5],,,,,,,
60,1,1,1.0,"[0, 2, 1, 1, 0]",780.0,[1 5 2 6 3],,151.0,False,False,False,False,False
60,1,2,1.0,"[0, 1, 0, 2, 0]",161.1,[1 5 2 6 3],161.1,210.0,False,True,False,False,True
60,2,1,0.9,"[0, 1, 0, 3, 0]",727.2,[1 5 2 6 3],727.2,135.9,False,False,False,False,True
60,2,2,0.9,"[0, 1, 0, 3, 0]",228.6,[1 5 2 6 3],,189.0,False,False,False,False,False
61,1,1,1.0,"[3, 3, 1, 2, 4]",1276.0,[6 7 4 5 7],,712.0,False,False,False,False,False
61,1,2,1.0,"[5, 2, 1, 2, 3]",584.1,[6 7 4 5 7],584.1,882.0,False,True,False,False,True
61,2,1,0.9,"[5, 2, 1, 2, 3]",1179.9,[6 7 4 5 7],,640.8000000000001,False,False,False,False,False
62,1,1,1.0,"[2, 2, 1, 2, 3]",236.0,[4 3 2 3 4],,67.0,False,False,False,False,False
63,1,1,1.0,"[1, 1, 3, 2, 2]",726.0,[4 4 8 5 6],,47.0,False,False,False,False,False
63,1,2,1.0,"[1, 1, 3, 2, 2]",559.8000000000001,[4 4 8 5 6],559.8000000000001,683.0,False,True,False,False,True
63,2,1,0.9,"[1, 1, 3, 2, 2]",653.4,[4 4 8 5 6],,42.300000000000004,False,False,False,False,False
64,1,1,1.0,"[2, 1, 1, 4, 3]",806.0,[7 1 3 6 5],,655.0,False,False,False,False,False
64,1,2,1.0,"[2, 1, 1, 4, 3]",716.0,[7 1 3 6 5],,54.0,False,False,False,False,False
65,1,1,1.0,"[0, 0, 0, 3, 1]",559.0,[1 4 0 6 2],,112.0,False,False,False,False,False
65,1,2,1.0,"[0, 0, 0, 3, 1]",381.0,[1 4 0 6 2],,163.0,False,False,False,False,False
66,1,1,1.0,"[0, 1, 0, 0, 2]",545.0,[1 3 1 1 4],,419.0,False,False,False,False,False
67,1,1,1.0,"[1, 3, 1, 0, 2]",900.0,[3 7 1 4 5],,234.0,False,False,False,False,False
67,1,2,1.0,"[1, 3, 1, 0, 2]",461.0,[3 7 1 4 5],,353.0,False,False,False,False,False
68,1,1,1.0,"[0, 0, 0, 1, 0]",686.0,[1 0 2 5 4],,664.0,False,False,False,False,False
68,1,2,1.0,"[0, 0, 1, 2, 4]",191.70000000000002,[1 0 2 5 4],191.70000000000002,203.0,False,True,False,False,False
68,2,1,0.9,[],,[1 0 2 5 4],,,,,,,
69,1,1,1.0,"[5, 3, 1, 0, 2]",397.0,[7 4 3 1 4],,306.0,False,False,False,False,False
70,1,1,1.0,"[2, 2, 1, 2, 2]",698.0,[5 6 3 4 6],,235.0,False,False,False,False,False
70,1,2,1.0,"[5, 1, 0, 1, 2]",225.9,[5 6 3 4 6],225.9,575.0,False,True,False,False,True
70,2,1,0.9,"[5, 1, 0, 1, 2]",646.2,[5 6 3 4 6],,211.5,False,False,False,False,False
71,1,1,1.0,"[0, 1, 2, 4, 3]",420.0,[4 3 3 5 5],,612.0,False,True,False,False,False
71,1,2,1.0,"[0, 0, 0, 0, 5]",9.0,[4 3 3 5 5],9.0,831.0,False,True,False,False,True
71,2,1,0.9,[],,[4 3 3 5 5],,,,,,,
72,1,1,1.0,"[0, 3, 4, 1, 3]",582.0,[2 6 7 2 5],,278.0,False,False,False,False,False
72,1,2,1.0,"[0, 3, 4, 1, 3]",538.0,[2 6 7 2 5],,10.0,False,False,False,False,False
73,1,1,1.0,[],,[1 3 6 3 3],,,,,,,
74,1,1,1.0,"[5, 5, 0, 0, 0]",550.0,[5 5 3 1 3],,505.0,False,False,False,False,False
75,1,1,1.0,"[0, 0, 2, 2, 2]",634.0,[4 2 2 4 5],,500.0,False,False,False,False,False
75,1,2,1.0,"[2, 0, 0, 3, 2]",245.70000000000002,[4 2 2 4 5],245.70000000000002,579.0,False,True,False,False,True
75,2,1,0.9,[],,[4 2 2 4 5],,,,,,,
76,1,1,1.0,[],,[4 2 5 8 4],,,,,,,
77,1,1,1.0,"[1, 2, 1, 3, 2]",512.0,[2 4 2 6 5],,474.0,False,False,False,False,False
77,1,2,1.0,"[1, 2, 1, 3, 2]",547.0,[2 4 2 6 5],,63.0,False,False,False,False,False
78,1,1,1.0,"[0, 3, 0, 3, 3]",778.0,[2 8 1 4 6],,172.0,False,False,False,False,False
78,1,2,1.0,"[0, 2, 1, 1, 3]",395.1,[2 8 1 4 6],395.1,194.0,False,False,False,False,True
78,2,1,0.9,"[1, 3, 0, 3, 3]",630.9,[2 8 1 4 6],630.9,154.8,False,False,False,False,True
78,2,2,0.9,"[1, 3, 0, 3, 3]",592.2,[2 8 1 4 6],,174.6,False,False,False,False,False
