game_num,round_num,player,discount_rate,offer,value,items,your_side_of_current_offer,outside_offer,accepting_an_offer_worse_than_outside_offer,making_an_offer_worse_for_you_than_your_outside_offer,walking_away_from_an_offer_better_than_your_outside_offer,offer_no_items_or_all_items,making_offer_worse_than_previous
0,1,1,1.0,"[2, 1, 1, 1, 1]",859.0,[8 4 2 4 2],,86.0,False,False,False,False,False
0,1,2,1.0,"[4, 1, 0, 1, 1]",600.3000000000001,[8 4 2 4 2],600.3000000000001,296.1,False,False,False,False,False
0,2,1,0.9,"[2, 1, 0, 1, 0]",871.2,[8 4 2 4 2],871.2,77.4,False,False,False,False,False
0,2,2,0.9,"[2, 1, 1, 1, 1]",563.76,[8 4 2 4 2],563.76,266.49,False,False,False,False,False
0,3,1,0.81,"[2, 1, 1, 1, 1]",290.79,[8 4 2 4 2],,69.66000000000001,False,False,False,False,False
1,1,1,1.0,"[0, 1, 1, 1, 1]",939.0,[1 6 3 5 4],,560.0,False,False,False,False,False
1,1,2,1.0,"[0, 3, 1, 2, 2]",467.1,[1 6 3 5 4],467.1,279.0,False,False,False,False,False
1,2,1,0.9,"[0, 1, 0, 1, 1]",855.9,[1 6 3 5 4],855.9,504.0,False,False,False,False,False
1,2,2,0.9,"[0, 2, 0, 0, 0]",665.01,[1 6 3 5 4],665.01,251.10000000000002,False,False,False,False,False
1,3,1,0.81,[],,[1 6 3 5 4],,,,,,,
2,1,1,1.0,"[1, 1, 2, 0, 1]",386.0,[3 3 4 0 3],,90.0,False,False,False,False,False
2,1,2,1.0,"[1, 1, 1, 0, 1]",193.5,[3 3 4 0 3],193.5,132.3,False,False,False,False,False
2,2,1,0.9,"[0, 0, 0, 0, 0]",590.4,[3 3 4 0 3],590.4,81.0,False,False,False,True,False
2,2,2,0.9,"[0, 0, 0, 0, 0]",247.86,[3 3 4 0 3],247.86,119.07000000000001,False,False,False,True,False
2,3,1,0.81,"[0, 0, 0, 0, 0]",531.36,[3 3 4 0 3],531.36,72.9,False,False,False,True,False
3,1,1,1.0,"[0, 0, 0, 0, 0]",990.0,[2 3 4 4 1],,221.0,False,False,False,True,False
3,1,2,1.0,"[0, 0, 1, 1, 0]",320.40000000000003,[2 3 4 4 1],320.40000000000003,150.3,False,False,False,False,False
3,2,1,0.9,"[0, 1, 2, 2, 0]",549.9,[2 3 4 4 1],549.9,198.9,False,False,False,False,False
3,2,2,0.9,"[0, 0, 0, 4, 1]",214.65,[2 3 4 4 1],214.65,135.27,False,False,False,False,False
3,3,1,0.81,"[0, 0, 0, 0, 0]",801.9000000000001,[2 3 4 4 1],801.9000000000001,179.01000000000002,False,False,False,True,False
4,1,1,1.0,"[1, 2, 1, 4, 2]",514.0,[3 4 3 8 5],,37.0,False,False,False,False,False
4,1,2,1.0,"[1, 1, 1, 2, 1]",957.6,[3 4 3 8 5],957.6,166.5,False,False,False,False,False
4,2,1,0.9,"[2, 2, 2, 4, 3]",390.6,[3 4 3 8 5],390.6,33.300000000000004,False,False,False,False,False
4,2,2,0.9,"[1, 1, 1, 2, 2]",798.6600000000001,[3 4 3 8 5],798.6600000000001,149.85000000000002,False,False,False,False,False
4,3,1,0.81,"[1, 1, 1, 2, 2]",226.8,[3 4 3 8 5],,29.970000000000002,False,False,False,False,False
5,1,1,1.0,"[1, 2, 2, 2, 3]",768.0,[2 5 5 5 6],,578.0,False,False,False,False,False
5,1,2,1.0,"[0, 1, 2, 1, 2]",651.6,[2 5 5 5 6],651.6,111.60000000000001,False,False,False,False,False
5,2,1,0.9,"[0, 2, 3, 2, 3]",725.4,[2 5 5 5 6],725.4,520.2,False,False,False,False,False
5,2,2,0.9,"[0, 0, 0, 0, 0]",727.38,[2 5 5 5 6],727.38,100.44000000000001,False,False,False,True,False
5,3,1,0.81,"[0, 0, 0, 0, 0]",1078.1100000000001,[2 5 5 5 6],1078.1100000000001,468.18,False,False,False,True,False
6,1,1,1.0,"[0, 0, 0, 0, 0]",659.0,[2 5 2 5 0],,166.0,False,False,False,True,False
6,1,2,1.0,"[0, 0, 0, 0, 0]",572.4,[2 5 2 5 0],572.4,206.1,False,False,False,True,False
6,2,1,0.9,"[0, 0, 0, 0, 0]",593.1,[2 5 2 5 0],593.1,149.4,False,False,False,True,False
6,2,2,0.9,"[0, 0, 0, 0, 0]",515.1600000000001,[2 5 2 5 0],515.1600000000001,185.49,False,False,False,True,False
6,3,1,0.81,"[0, 0, 0, 0, 0]",0.0,[2 5 2 5 0],,134.46,True,False,False,False,False
7,1,1,1.0,"[0, 0, 0, 0, 0]",857.0,[5 5 4 3 3],,101.0,False,False,False,True,False
7,1,2,1.0,"[0, 0, 0, 0, 0]",600.3000000000001,[5 5 4 3 3],600.3000000000001,206.1,False,False,False,True,False
7,2,1,0.9,"[0, 0, 1, 0, 0]",714.6,[5 5 4 3 3],714.6,90.9,False,False,False,False,False
7,2,2,0.9,"[0, 0, 0, 0, 0]",540.27,[5 5 4 3 3],540.27,185.49,False,False,False,True,False
7,3,1,0.81,"[0, 0, 0, 0, 0]",694.1700000000001,[5 5 4 3 3],694.1700000000001,81.81,False,False,False,True,False
8,1,1,1.0,"[0, 0, 0, 0, 0]",1402.0,[3 2 5 2 6],,744.0,False,False,False,True,False
8,1,2,1.0,"[0, 0, 0, 0, 0]",945.9,[3 2 5 2 6],945.9,675.0,False,False,False,True,False
8,2,1,0.9,"[1, 0, 1, 0, 1]",1054.8,[3 2 5 2 6],1054.8,669.6,False,False,False,False,False
8,2,2,0.9,"[0, 0, 0, 0, 0]",851.3100000000001,[3 2 5 2 6],851.3100000000001,607.5,False,False,False,True,False
8,3,1,0.81,"[0, 0, 0, 0, 0]",1135.6200000000001,[3 2 5 2 6],1135.6200000000001,602.64,False,False,False,True,False
9,1,1,1.0,"[1, 2, 1, 1, 2]",451.0,[3 5 2 2 4],,88.0,False,False,False,False,False
9,1,2,1.0,"[0, 0, 0, 0, 0]",844.2,[3 5 2 2 4],844.2,633.6,False,False,False,True,False
9,2,1,0.9,"[0, 0, 0, 1, 0]",637.2,[3 5 2 2 4],637.2,79.2,False,False,False,False,False
9,2,2,0.9,"[0, 0, 0, 0, 0]",759.7800000000001,[3 5 2 2 4],759.7800000000001,570.24,False,False,False,True,False
9,3,1,0.81,"[0, 0, 0, 0, 0]",652.0500000000001,[3 5 2 2 4],652.0500000000001,71.28,False,False,False,True,False
10,1,1,1.0,"[2, 1, 3, 2, 1]",485.0,[4 3 6 4 3],,525.0,False,True,False,False,False
