game_num,round_num,player,discount_rate,offer,value,items,your_side_of_current_offer,outside_offer,accepting_an_offer_worse_than_outside_offer,making_an_offer_worse_for_you_than_your_outside_offer,walking_away_from_an_offer_better_than_your_outside_offer,offer_no_items_or_all_items,making_offer_worse_than_previous
0,1,1,1.0,"[1, 1, 1, 1, 3]",940.0,[4 1 6 2 5],,347.0,False,False,False,False,False
0,1,2,1.0,"[1, 0, 4, 1, 2]",527.4,[4 1 6 2 5],527.4,174.0,False,False,False,False,False
0,2,1,0.9,"[1, 0, 4, 1, 2]",688.5,[4 1 6 2 5],,312.3,False,False,False,False,False
1,1,1,1.0,"[2, 0, 2, 1, 1]",799.0,[7 1 5 3 5],,157.0,False,False,False,False,False
1,1,2,1.0,"[2, 1, 2, 2, 2]",833.4,[7 1 5 3 5],833.4,113.0,False,False,False,False,False
1,2,1,0.9,"[2, 1, 2, 2, 2]",615.6,[7 1 5 3 5],,141.3,False,False,False,False,False
2,1,1,1.0,"[2, 1, 0, 2, 3]",598.0,[5 3 1 3 6],,445.0,False,False,False,False,False
2,1,2,1.0,"[1, 1, 0, 1, 3]",671.4,[5 3 1 3 6],671.4,688.0,False,True,False,False,False
2,2,1,0.9,"[2, 1, 0, 2, 3]",538.2,[5 3 1 3 6],538.2,400.5,False,False,False,False,False
3,1,1,1.0,"[1, 3, 1, 1, 3]",589.0,[5 5 3 3 4],,504.0,False,False,False,False,False
3,1,2,1.0,"[4, 2, 1, 2, 1]",672.3000000000001,[5 5 3 3 4],672.3000000000001,63.0,False,False,False,False,False
3,2,1,0.9,"[1, 3, 1, 1, 3]",530.1,[5 5 3 3 4],530.1,453.6,False,False,False,False,False
3,2,2,0.9,"[1, 3, 1, 1, 3]",465.3,[5 5 3 3 4],,56.7,False,False,False,False,False
4,1,1,1.0,"[1, 3, 1, 3, 1]",727.0,[5 8 3 5 1],,422.0,False,False,False,False,False
4,1,2,1.0,"[2, 3, 1, 2, 0]",765.0,[5 8 3 5 1],765.0,843.0,False,True,False,False,False
4,2,1,0.9,"[1, 4, 2, 3, 1]",570.6,[5 8 3 5 1],570.6,379.8,False,False,False,False,False
5,1,1,1.0,"[1, 1, 0, 2, 2]",1054.0,[ 3  2  0  6 10],,256.0,False,False,False,False,False
5,1,2,1.0,"[1, 1, 0, 2, 5]",788.4,[ 3  2  0  6 10],788.4,509.0,False,False,False,False,False
5,2,1,0.9,"[1, 1, 0, 2, 5]",700.2,[ 3  2  0  6 10],,230.4,False,False,False,False,False
6,1,1,1.0,"[0, 1, 0, 2, 1]",841.0,[2 5 2 3 2],,511.0,False,False,False,False,False
7,1,1,1.0,"[0, 4, 1, 3, 0]",444.0,[2 6 1 3 3],,312.0,False,False,False,False,False
7,1,2,1.0,"[2, 1, 1, 2, 1]",611.1,[2 6 1 3 3],611.1,510.0,False,False,False,False,False
7,2,1,0.9,"[0, 5, 0, 3, 0]",399.6,[2 6 1 3 3],399.6,280.8,False,False,False,False,False
7,2,2,0.9,"[0, 5, 0, 3, 0]",352.8,[2 6 1 3 3],,459.0,True,False,False,False,False
8,1,1,1.0,"[1, 1, 1, 1, 1]",809.0,[6 3 4 3 3],,136.0,False,False,False,False,False
8,1,2,1.0,"[2, 2, 2, 1, 2]",520.2,[6 3 4 3 3],520.2,533.0,False,True,False,False,False
8,2,1,0.9,"[2, 2, 2, 1, 2]",531.9,[6 3 4 3 3],,122.4,False,False,False,False,False
9,1,1,1.0,"[1, 1, 1, 2, 2]",667.0,[6 3 2 5 2],,46.0,False,False,False,False,False
9,1,2,1.0,"[3, 2, 2, 1, 1]",634.5,[6 3 2 5 2],634.5,519.0,False,False,False,False,False
9,2,1,0.9,"[3, 2, 2, 1, 1]",412.2,[6 3 2 5 2],,41.4,False,False,False,False,False
10,1,1,1.0,"[1, 0, 1, 3, 2]",508.0,[4 1 2 6 4],,619.0,False,True,False,False,False
10,1,2,1.0,"[3, 0, 0, 4, 3]",290.7,[4 1 2 6 4],290.7,624.0,False,True,False,False,False
10,2,1,0.9,[],,[4 1 2 6 4],,,,,,,
11,1,1,1.0,"[2, 3, 0, 1, 1]",733.0,[5 4 1 2 5],,491.0,False,False,False,False,False
11,1,2,1.0,"[2, 1, 0, 1, 2]",680.4,[5 4 1 2 5],680.4,366.0,False,False,False,False,False
11,2,1,0.9,"[2, 2, 0, 1, 1]",689.4,[5 4 1 2 5],689.4,441.90000000000003,False,False,False,False,False
11,2,2,0.9,"[2, 1, 0, 1, 2]",612.36,[5 4 1 2 5],612.36,329.40000000000003,False,False,False,False,False
11,3,1,0.81,[],,[5 4 1 2 5],,,,,,,
12,1,1,1.0,"[2, 1, 3, 4, 1]",491.0,[3 3 4 6 5],,899.0,False,True,False,False,False
12,1,2,1.0,"[2, 1, 3, 4, 1]",571.0,[3 3 4 6 5],,413.0,False,False,False,False,False
