game_num,round_num,step_num,player,is_strict_ef,is_one_item_ef,is_final_allocation,final_strict_ef,final_one_item_ef,outside_consistent,offer_increasing
1,1,1,1,True,False,True,True,True,True,True
1,1,2,2,True,False,True,True,True,True,True
8,1,1,1,False,False,True,False,True,False,True
8,1,2,2,True,False,True,False,True,False,True
13,1,1,1,True,False,True,False,False,True,True
13,1,2,2,True,False,True,False,False,True,True
20,1,1,1,False,False,True,False,False,False,True
20,1,2,2,True,False,True,False,False,False,True
23,1,1,1,False,False,True,True,True,False,True
23,1,2,2,True,False,True,True,True,False,True
26,1,1,1,True,False,True,True,True,True,True
26,1,2,2,False,False,True,True,True,True,True
33,1,1,1,True,False,True,True,True,False,True
33,1,2,2,True,False,True,True,True,False,True
44,1,1,1,True,False,True,True,False,True,True
44,1,2,2,True,False,True,True,False,True,True
45,1,1,1,False,False,False,False,False,True,True
45,1,2,2,True,False,False,False,False,True,True
53,1,1,1,True,False,True,True,True,True,True
53,1,2,2,True,False,True,True,True,True,True
57,1,1,1,True,False,True,True,True,True,True
57,1,2,2,True,False,True,True,True,True,True
86,1,1,1,True,False,False,False,False,False,True
86,1,2,2,False,False,False,False,False,False,True
87,1,1,1,True,False,False,False,False,False,True
87,1,2,2,False,False,False,False,False,False,True
88,1,1,1,True,False,False,False,False,True,True
88,1,2,2,False,False,False,False,False,True,True
89,1,1,1,False,False,False,False,False,True,True
89,1,2,2,True,False,False,False,False,True,True
89,2,1,1,False,False,True,True,True,True,True
89,2,2,2,False,False,True,True,True,True,True
90,1,1,1,True,False,False,False,False,True,True
90,1,2,2,False,False,False,False,False,True,True
95,1,1,1,False,False,False,False,False,False,True
95,1,2,2,True,False,False,False,False,False,True
96,1,1,1,True,False,True,True,True,True,True
96,1,2,2,True,False,True,True,True,True,True
97,1,1,1,False,False,False,False,False,False,True
97,1,2,2,False,False,False,False,False,False,True
97,2,1,1,True,False,True,False,False,False,True
97,2,2,2,True,False,True,False,False,False,True
98,1,1,1,True,False,True,True,True,False,True
98,1,2,2,False,False,True,True,True,False,True
