game_num,round_num,player,discount_rate,offer,value,items,your_side_of_current_offer,outside_offer,accepting_an_offer_worse_than_outside_offer,making_an_offer_worse_for_you_than_your_outside_offer,walking_away_from_an_offer_better_than_your_outside_offer,offer_no_items_or_all_items,making_offer_worse_than_previous
0,1,1,1.0,"[1, 0, 2, 1, 2]",656.0,[4 1 6 3 7],,268.0,False,False,False,False,False
1,1,1,1.0,"[1, 1, 1, 1, 0]",806.0,[5 4 4 3 2],,294.0,False,False,False,False,False
2,1,1,1.0,"[2, 1, 2, 1, 2]",514.0,[5 3 4 3 4],,266.0,False,False,False,False,False
3,1,1,1.0,"[0, 3, 1, 2, 1]",763.0,[2 6 7 4 3],,655.0,False,False,False,False,False
3,1,2,1.0,"[0, 3, 1, 2, 1]",154.0,[2 6 7 4 3],,146.0,False,False,False,False,False
4,1,1,1.0,[],,[4 1 1 6 5],,,,,,,
5,1,1,1.0,[],,[4 6 6 1 3],,,,,,,
6,1,1,1.0,"[1, 2, 2, 2, 3]",531.0,[2 5 5 4 4],,292.0,False,False,False,False,False
7,1,1,1.0,"[1, 3, 2, 2, 0]",628.0,[3 6 6 7 1],,556.0,False,False,False,False,False
8,1,1,1.0,"[2, 3, 2, 1, 5]",801.0,[ 4  6  4  3 10],,358.0,False,False,False,False,False
8,1,2,1.0,"[0, 0, 0, 0, 0]",1355.4,[ 4  6  4  3 10],1355.4,646.2,False,False,False,True,False
8,2,1,0.9,"[1, 2, 1, 1, 3]",939.6,[ 4  6  4  3 10],939.6,322.2,False,False,False,False,False
9,1,1,1.0,"[0, 0, 0, 0, 2]",189.0,[7 1 3 3 5],,11.0,False,False,False,False,False
9,1,2,1.0,"[3, 1, 1, 2, 3]",339.3,[7 1 3 3 5],339.3,160.20000000000002,False,False,False,False,False
9,2,1,0.9,"[3, 1, 1, 2, 3]",99.9,[7 1 3 3 5],,9.9,False,False,False,False,False
10,1,1,1.0,"[2, 1, 0, 1, 1]",470.0,[4 3 1 2 3],,189.0,False,False,False,False,False
10,1,2,1.0,"[2, 2, 0, 0, 3]",307.8,[4 3 1 2 3],307.8,504.90000000000003,False,True,False,False,False
10,2,1,0.9,"[2, 2, 0, 0, 3]",377.1,[4 3 1 2 3],,170.1,False,False,False,False,False
11,1,1,1.0,"[1, 1, 1, 4, 2]",672.0,[ 3  3  4 10  5],,731.0,False,True,False,False,False
12,1,1,1.0,"[1, 3, 3, 2, 2]",700.0,[2 7 6 5 4],,1015.0,False,True,False,False,False
13,1,1,1.0,"[1, 1, 0, 3, 3]",694.0,[4 4 2 5 5],,687.0,False,False,False,False,False
13,1,2,1.0,"[0, 0, 0, 0, 3]",446.40000000000003,[4 4 2 5 5],446.40000000000003,399.6,False,False,False,False,False
13,2,1,0.9,"[1, 1, 1, 1, 2]",754.2,[4 4 2 5 5],754.2,618.3000000000001,False,False,False,False,False
13,2,2,0.9,"[1, 1, 1, 1, 2]",187.20000000000002,[4 4 2 5 5],,399.6,True,False,False,False,False
